User_ID  ,Họ_Tên               ,Giới_Tính ,Ngày_Sinh  ,Số_Điện_Thoại ,Email                         ,Địa_Chỉ          ,Thành_Phố               ,Nghề_Nghiệp
USR00001 ,Xuân Phạm            ,Nữ        ,16/10/1967 ,   0734189295 ,xuanpham13@gmail.com          ,1 John Ngõ       ,JaneHuyện               ,Nghệ sĩ
USR00002 ,Hưng Thế Lê          ,Nam       ,29/07/1977 ,   0550329969 ,hungthele57@gmail.com         ,6 Trần Khu       ,JohnThành phố           ,Y tá
USR00003 ,Cô Ánh Mai           ,Nữ        ,02/06/1998 ,   0899269820 ,coanhmai74@gmail.com          ,406 John Làng    ,JohnQuận                ,Thực Tập
USR00004 ,Hạnh Đặng            ,Nữ        ,23/11/1992 ,   0364236805 ,hanhđang40@gmail.com          ,8 Jane Số        ,Thành phố JohnQuận      ,Kỹ sư sản xuất
USR00005 ,Bà Bảo Phạm          ,Nữ        ,27/11/1982 ,   0887925369 ,babaopham68@gmail.com         ,82 Mai Tổ        ,JaneHuyện               ,Tư vấn khách hàng
USR00006 ,Bảo Hoàng Nguyễn     ,Nam       ,21/06/1985 ,   0993502119 ,baohoangnguyen37@gmail.com    ,76 Jane Hẻm      ,JohnXã                  ,Nhà thiết kế đồ họa
USR00007 ,Huy Nguyễn           ,Nam       ,16/02/1994 ,   0898856231 ,huynguyen36@gmail.com         ,3 Trần Hẻm       ,JohnThị xã              ,Thực tập sinh giáo dục
USR00008 ,Quý cô Linh Mai      ,Nữ        ,14/10/1975 ,   0889054843 ,quycolinhmai93@gmail.com      ,2 Jane Ngõ       ,JaneXã                  ,Chuyên viên bảo mật
USR00009 ,Lâm Thế Đặng         ,Nam       ,31/03/1979 ,   0949834313 ,lamtheđang10@gmail.com        ,67 Trần Dãy      ,JanePhường              ,Kiến trúc sư phần mềm
USR00010 ,Quý ông Dũng Phạm    ,Nam       ,15/09/2003 ,   0354547199 ,quyongdungpham55@gmail.com    ,1 John Làng      ,Quận JaneThị xã         ,Nhân viên hành chính
USR00011 ,Vân Dương            ,Nữ        ,18/11/1968 ,   0983072989 ,vanduong29@gmail.com          ,689 Trần Dãy     ,JohnXã                  ,Giảng viên
USR00012 ,Bà An Trần           ,Nữ        ,15/06/2007 ,   0525228505 ,baantran11@gmail.com          ,99 Jane Dãy      ,Huyện JaneHuyện         ,Project Manager
USR00013 ,Cô Hồng Lê           ,Nữ        ,13/03/1986 ,   0960868376 ,cohongle91@gmail.com          ,0 John Làng      ,JaneThành phố           ,Biên dịch viên
USR00014 ,Thành Hoàng          ,Nam       ,27/11/1979 ,   0835604024 ,thanhhoang85@gmail.com        ,5 Đặng Số        ,JanePhường              ,Kế toán
USR00015 ,Thành Tấn Hoàng      ,Nam       ,15/10/1970 ,   0992463488 ,thanhtanhoang88@gmail.com     ,873 Trần Đường   ,Quận JohnThị xã         ,Sales Representative
USR00016 ,Chị Xuân Hoàng       ,Nữ        ,03/12/1968 ,   0521628571 ,chixuanhoang78@gmail.com      ,7 Jane Số        ,Thành phố JohnXã        ,Trưởng phòng kinh doanh
USR00017 ,An Lê                ,Nữ        ,30/01/1979 ,   0753305709 ,anle70@gmail.com              ,176 John Ngõ     ,Huyện JaneHuyện         ,Chuyên viên nhân sự
USR00018 ,Bà Yến Mai           ,Nữ        ,04/04/1963 ,   0387741732 ,bayenmai76@gmail.com          ,866 Trần Dãy     ,JaneThị xã              ,Marketing Manager
USR00019 ,Nam Phạm             ,Nam       ,18/01/1982 ,   0842782773 ,nampham35@gmail.com           ,9 Jane Đường     ,JaneThành phố           ,Dược sĩ
USR00020 ,Bảo Dương            ,Nữ        ,12/02/1977 ,   0757113593 ,baoduong88@gmail.com          ,19 Jane Khu      ,JohnHuyện               ,Biên dịch viên
USR00021 ,Hạnh Mai             ,Nữ        ,13/08/1988 ,   0821427143 ,hanhmai81@gmail.com           ,35 John Tổ       ,JohnPhường              ,Luật sư
USR00022 ,Hồng Mai             ,Nữ        ,11/01/1986 ,   0573714857 ,hongmai39@gmail.com           ,19 John Hẻm      ,JohnPhường              ,Chuyên viên tư vấn tuyển sinh
USR00023 ,Bác Hưng Hoàng       ,Nam       ,24/11/1994 ,   0893934862 ,bachunghoang66@gmail.com      ,07 John Dãy      ,JohnQuận                ,Luật sư
USR00024 ,Yến Bùi              ,Nữ        ,26/07/1972 ,   0345892204 ,yenbui87@gmail.com            ,923 John Số      ,Huyện JaneThành phố     ,Giảng viên
USR00025 ,Vi Lê                ,Nữ        ,26/02/2000 ,   0922584372 ,vile48@gmail.com              ,132 John Làng    ,Huyện JohnQuận          ,Nhà thiết kế đồ họa
USR00026 ,Bác Quang Lê         ,Nam       ,13/01/1990 ,   0846052260 ,bacquangle67@gmail.com        ,2 Lê Ngõ         ,JohnHuyện               ,Giáo viên
USR00027 ,Vũ Lê                ,Nam       ,17/03/1960 ,   0583291663 ,vule38@gmail.com              ,3 Hoàng Làng     ,JohnXã                  ,Nhà phân tích dữ liệu
USR00028 ,Quý cô Hạnh Vũ       ,Nữ        ,08/06/1991 ,   0324799596 ,quycohanhvu68@gmail.com       ,57 Jane Đường    ,JaneXã                  ,Điều Dưỡng
USR00029 ,Quý ông Thành Dương  ,Nam       ,09/06/1995 ,   0967057016 ,quyongthanhduong67@gmail.com  ,40 John Khu      ,JohnPhường              ,DevOps Engineer
USR00030 ,Bà Yến Hoàng         ,Nữ        ,24/02/1978 ,   0397892038 ,bayenhoang96@gmail.com        ,555 Nguyễn Ngõ   ,JaneThành phố           ,Nhà tư vấn tài chính
USR00031 ,Cô Nhật Nguyễn       ,Nữ        ,21/12/1972 ,   0744456842 ,conhatnguyen73@gmail.com      ,857 Jane Làng    ,Huyện JohnQuận          ,Công nhân sản xuất
